Date:	05.01.2020 18:09:39
Tool:	Eeschema (5.1.2)-2
Component Count:	69
Ref	Value	Part	Footprint	Description	Vendor
C1	100nF	device:C_Small	Capacitors_SMD:C_0603	Unpolarized capacitor, small symbol	
C2	100nF	device:C_Small	Capacitors_SMD:C_0603	Unpolarized capacitor, small symbol	
C3	100nF	device:C_Small	Capacitors_SMD:C_0603	Unpolarized capacitor, small symbol	
C4	100nF	device:C_Small	Capacitors_SMD:C_0603	Unpolarized capacitor, small symbol	
C5	100nF	device:C_Small	Capacitors_SMD:C_0603	Unpolarized capacitor, small symbol	
C6	100nF	device:C_Small	Capacitors_SMD:C_0603	Unpolarized capacitor, small symbol	
C7	100nF	device:C_Small	Capacitors_SMD:C_0603	Unpolarized capacitor, small symbol	
C8	100nF	device:C_Small	Capacitors_SMD:C_0603	Unpolarized capacitor, small symbol	
C10	100nF	device:C_Small	Capacitors_SMD:C_0603	Unpolarized capacitor, small symbol	
C11	100nF	device:C_Small	Capacitors_SMD:C_0603	Unpolarized capacitor, small symbol	
C12	22uF/16V	device:CP_Small	Capacitors_SMD:CP_Elec_5x5.3	Polarized capacitor, small symbol	
C13	100nF	device:C_Small	Capacitors_SMD:C_0603	Unpolarized capacitor, small symbol	
C14	100nF	device:C_Small	Capacitors_SMD:C_0603	Unpolarized capacitor, small symbol	
C15	22uF/16V	device:CP_Small	Capacitors_SMD:CP_Elec_5x5.3	Polarized capacitor, small symbol	
C16	100nF	device:C_Small	Capacitors_SMD:C_0603	Unpolarized capacitor, small symbol	
C17	1uF	device:C_Small	Capacitors_SMD:C_0603	Unpolarized capacitor, small symbol	
C18	10uF/16V	device:CP_Small	Capacitors_SMD:C_1206	Polarized capacitor, small symbol	
C19	1uF	device:C_Small	Capacitors_SMD:C_0603	Unpolarized capacitor, small symbol	
C20	100nF	device:C_Small	Capacitors_SMD:C_0603	Unpolarized capacitor, small symbol	
C21	10nF	device:C_Small	Capacitors_SMD:C_0603	Unpolarized capacitor, small symbol	
D1	Blue	device:LED	LEDs:LED_0603	Light emitting diode	
FID1	Fiducial	mechanical:Fiducial	Fiducials:Fiducial_1mm_Dia_2.54mm_Outer_CopperTop	Fiducial Marker	
FID2	Fiducial	mechanical:Fiducial	Fiducials:Fiducial_1mm_Dia_2.54mm_Outer_CopperTop	Fiducial Marker	
FID3	Fiducial	mechanical:Fiducial	Fiducials:Fiducial_1mm_Dia_2.54mm_Outer_CopperTop	Fiducial Marker	
FID4	Fiducial	mechanical:Fiducial	Fiducials:Fiducial_1mm_Dia_2.54mm_Outer_CopperTop	Fiducial Marker	
FID5	Fiducial	mechanical:Fiducial	Fiducials:Fiducial_1mm_Dia_2.54mm_Outer_CopperTop	Fiducial Marker	
FID6	Fiducial	mechanical:Fiducial	Fiducials:Fiducial_1mm_Dia_2.54mm_Outer_CopperTop	Fiducial Marker	
FID7	Fiducial	mechanical:Fiducial	Fiducials:Fiducial_1mm_Dia_2.54mm_Outer_CopperTop	Fiducial Marker	
FID8	Fiducial	mechanical:Fiducial	Fiducials:Fiducial_1mm_Dia_2.54mm_Outer_CopperTop	Fiducial Marker	
H1	MountingHole	mechanical:MountingHole	McuOnEclipse:MountingHole_2.7mm_M2.5_LargeMask	Mounting Hole without connection	
H2	MountingHole	mechanical:MountingHole	McuOnEclipse:MountingHole_2.7mm_M2.5_LargeMask	Mounting Hole without connection	
H3	MountingHole	mechanical:MountingHole	Mounting_Holes:MountingHole_2.7mm_M2.5	Mounting Hole without connection	
H4	MountingHole	mechanical:MountingHole	McuOnEclipse:MountingHole_2.7mm_M2.5_LargeMask	Mounting Hole without connection	
H5	MountingHole	mechanical:MountingHole	McuOnEclipse:MountingHole_2.7mm_M2.5_LargeMask	Mounting Hole without connection	
H6	MountingHole	mechanical:MountingHole	Mounting_Holes:MountingHole_2.7mm_M2.5	Mounting Hole without connection	
H7	MountingHole	mechanical:MountingHole	McuOnEclipse:MountingHole_2.7mm_M2.5_LargeMask	Mounting Hole without connection	
